,idadmi,claveadmi
0,32650742d4b647ef97a838dacc0b1d02,4b2d7fcc08c3457f9565e0b9f6c63337
1,4ee06bfc3e3b4fac835dd755581c1a9d,28e8e071db614af6b8f33c12878bf01f
2,274cccb2d2be4b538a45b07432bbf909,81c6b251b1ee41f1a47df2b6c32b2260
3,4699f669e9c64b778b0cbaaa81f21235,38158934934b4a6797e2f5d6c1300745
4,b90180b844e148658a66ec05db7d5e34,0d2249d6d9704dd0bea9aaaa7cd858be
5,c31a41470de340c3b749371c85ce79bc,bea3d05908314db1a631413ce1c93825
6,ee935ff0c6eb4a2b88afa510b5dd7553,f76604cd83fd4c9488264809b9cd1e92
7,081bfacd4de3448abab0292f9b612e18,9f327e7623ba4729aca2a83ccd658d84
8,a5ed133b66fb4ea5818e843d4f60ea90,59e88f2535504664a577b1802b3160d0
9,be3d659943174b9c82815f8e1493b913,df5fb86c4b214d75b39e80d6226c40c2
10,bf2d289137b64cd9b97a145568bdcb37,c08812b458a4495d83032a8fbee521ea
11,f02abfed73dc47829cb77b94a3c54924,8ca2a873d6f642cc94fd512985883381
12,f70821ff639e41b0898446a79efb11f7,fa1f3a7640494d9486d3ded89c9cddda
13,a2280c74eee9425b96fce7435aefc969,356fec977eea4f3ea39125c3e6daffa1
14,f92166f23d4f4d72b3c5964049e63f89,f3cd77ab0e444a649c21a80b1586efec
15,b5d1658b503f49eebea3e36af8a7e448,ccdaa70c898842f28b75a81f8cfa6b92
16,e5160341b25e44928e787aeed7063aa9,17134dca9e3b43aea72c5cbb0f759b8d
17,e79505c35e6849debe36e6b1f0a0f8cf,4ad521af1a0e4c83b6c5b816cf8a31a2
18,bc70fd139443495fa34ac4648c85b354,25bfb615aae24c1497fb9764c8e98072
19,183dc4561ab843169fa40168e7090aa8,398c80b0bfbf4f40b2e4de816a646ebc
20,885479c48db043ef96dfbf02c1574ef0,413c379726854be9a39034283fa53023
21,6220b53c50ad4013924508688ef3374e,065b59be4443477cb83bf1012ab9ea85
22,6ba11e201929498d94f65da8e52f0994,dcc38758a8ab4095b95dc92ec70876a4
23,612358b3df994579ab31ab08fd0ba279,723b3849d4fb43b9940220482c07383e
24,6860af9c51fa40ad9925d4ec73263b28,d20cf09ca16244aa8a8ef04f44da9bcc
25,9bfb7b7b33924addacc52c4263b483a3,2102abd871e7415587c7b0351953ee7d
26,c5ce9f28743a45a6806a5c0b11ea981d,ba8049c27ad8420cbf933af444dd116d
27,0448e67dc01244cf8d0dc44df69a2c1b,701b01016f8640a88beb47aeadcfd4ca
28,4a74fae320f24b0285dd0d9175236f47,9b0bf247bfd54b42926f6bb8b2693ffa
29,28554ac221314401ab25f5f506a4a803,18dc8fcf60194fe391933955e46b267c
30,a5381e981b3e4037a087c54d6e4247e0,dcd86de626654fd5b4ab63d83529c00a
31,01d9af3764244a9bb7969e4a34d54988,f2953db57cb74be9b2e2ed7fecfd3537
32,057dcaaf4520414c81ba7b7b4565bc43,619d13aa8f8d46278b71b483a6daf8d3
33,6d9a1fb1a0e4494a872c25012b3d6b35,284817a708d14c70b687abd282194289
34,5dc592affb9e4f928ec7e9c39f75bb0b,29fb0b68b7084f3c9116845d1633d810
35,2b7e1514732143559f057aef44c84bdd,f4dc1bb71725453eb2e3217b57b475b5
36,b959e656937e4d9bbf14a4bb8787dda9,29ffab19a554448ba41d56a6d636c1ec
37,514713af7efe4966802bb0c8586e534f,fae1d03395764e5a8fc645a0e289eb2f
38,e56ca22854cb4784a7659fb23b415ffa,31f71bbc06844c01b9c92fcad2c48754
39,bcf0695279924f4d918b10fe9e7456ba,84d7d552020d4b359664574553a408a9
40,bdaadfae477c40bca71e48aaa56a2e27,e08fdf49df0943f18d0e4cdabf67e5ae
41,1a0061d5473d48bc962d8391f90a21d5,58be0daa08834ee2a55e44a194557e10
42,7cc31cc03cd840269d0b8497e47481a8,a8a12e47d7ec45018bffbe5658b8f57b
43,a1ac6400710943558996f90546e6b8b7,5afd696badec47d692e4939db44ae1e3
44,d4c6f1e1c583419ba0f1c9c829b0edb6,7da25b697c7e4246a69a803f0a6fa629
45,ee30fe4c71c64d15b0d3b8dc4d1c1a62,ea55b4f174c9448e978f98a091d1259b
46,5fe811cac7a94d449a97ae8e1542ee7d,2c4c61442a4e4d93b28910d46a787dbb
47,19065f3f7bb24b37a853c40c7dd37ee2,c700a05cf4f9472b9bc6414f648976c2
48,9842686dd61c417393ae073bf8bbbf7b,3282bb45da184ab295ebe03d8179564a
49,97f862340e634f0a8305a1d563762566,dde9452142374685a5c8bfda60188a2d
50,b00e45c9ee7142699e27074eac0c72cb,6b8cadfa81244f55adf5f5151283fedc
51,ef672c80a6d7400cbbf39fa12b589e4f,1991ccc000bd4c09a395ef1b2f2aa3af
52,32548a6f78a44cffb7c4431373ea710f,9a5e4cffcc1a456ba98232ad92ac993f
53,1b42de4a3aca4686b41e94055f0a8d35,9325a584e896400a903c33361e5abceb
54,ab1b12221dc04896810ff6e816f517b8,fe913170e3b645609b67a2beb17d3fb5
55,a75edf804cca46ecb1f54d54a0b65b0f,6c2750f98b9849d090d8948fc9532a65
56,5d4ea96ab304400a82989280768eef3b,3674c866d630454daafb37cbd5b82d91
57,538bfd2bb9b346de832029a79424c2f9,56cd2609da97450e942ecf3abbe1e2f3
58,8589c83774434fb6ad12d434470f7334,507bc190e4b149a898119f5010c05c5a
59,6e81a6652126431cb231ee2e9f396bf5,dec595754d894ef9a0e10127b1f5a611
60,65b9db198fbe47b1b9f8601b7a5bad73,a38456249c5640b38130d8636586bf23
61,30f7f018dc3d4d4facf8b766c3d45f0e,a83c9658f66941dcba146fdba14d1e30
62,107b10a2a1c24c63ad881f4832076774,23b278ede4c246e99125936f756c0e41
63,51abb73595334b8ea636c5e4f51613f8,32cd9c664c9247f7b3fde08aa3e43c7d
64,e049ba7f4deb47399cd04a83b90cfdf5,749a7ea7f3ca49f3b02a93e4c6b5f4ce
65,82b2282554894ec9907fc86393904234,5b942df0b0da4ef8a4e6d79b76512237
66,a36747a4d0274a17b4400d66c78b6315,c290ac58252649e6b1c8a350421a03ee
67,928802e9d7524526a565fb25dafd4a54,763624cc851346adbd27e2a0e3f471e4
68,a758b7dc24284f208da84e255e91cd14,99ffece31b284d7da47a44e5b2e7b131
69,04e4dd1220194d1f967470479e21b223,c13babab0b0e4a8993bd9e05ad7c678d
70,b384538ac48246d5a681f0385b32df3f,3af7d52f3612473292ad16087cc5b63f
71,ffd8e3eedaf44781bf82113d902d49d9,9d880be5f4ea4291967a3359569e7887
72,c1e97b3c34bc4b14b890f5a2a4b4eacb,559a991036f64f5b98277f10ec0f3bba
73,efc74acc5f684281bfac14c3ffecb227,7ca9542819c249f0a6a7d4a83b4a4569
74,4ec1694898bf40ca8957fda32954fa95,b6796b0b29d84bc39233ba5cb1a24569
75,e3259ef6d4534c8eafd3e753c4ed64dd,04325c492c954ff2b6db7d0126b96415
76,471f797d06b2431bac40357893f56657,e787adf370274f9b85871c322e3c7ff4
77,3c6e80a2d9ff4b10bfe90ff77aac9f02,b48fa1cbff9148ecb9b3300deb0f6b0d
78,46bb302ebc754f12889e7de02b5f8c35,4606d8008a1c402eb6935fb51e2b2a2d
79,de9d1fbbb8c74d3fb4c2c070613523e9,c2be6251cf5a41119cf1f76799253fd4
80,9ec91971e1f6468ba45698271dc7cc46,5abe122ddf07400ba1732726ec67f9de
81,1534436cd7ff4216b1aaa6fde9e391c0,2f357368678b4c54b8083a2c1771c373
82,cb28a73695454534bff7276f08916230,86b1edd69ed144f9ab97cabb7688c07b
83,49484ec9c6be44569a49e98e5fe0c7a1,e0ccca093d4a401fade274e5223082de
84,1176bf66798c4a41bbbe8f172926d7d5,f2a5783853a64ba5ac49f564dfc417e6
85,766abbef91bd4eae90dcb7c2558b3e55,2676829d40f34f559003deb3e095259b
86,668b5d089b534aed9139c73619bdbb28,b21684b2612a4efa9056a8522ec1fd79
87,b06bf562fda847a9af4280083890cb18,e1d363bdc097407f90e58fae67bd1d73
88,a2a20afa95da4e7b905f96df8315ce52,341b3a6622594eabac05491ee0846f0c
89,73f21367f1fc41cb981fda2e0ea49330,54d3d416dcbc4ccab57258dfc0e03a40
90,23dd17b003754c53a3b33575736e9ae0,8abb23923dce4a429f5d346d763323a5
91,14a334c05c0f4d2296ea0897b1bffaf8,67a8a4fb7a864bae969654390bfde5d7
92,61a1f03d8d86429e8236efa0fe5b8be7,44a5e25e346e406696d79a7ea3019a11
93,eca1ab4841da4708b35d4be657bb35a3,cd8f20278d234c30b08ca0769c4cc2c5
94,178a9fa776204fc8a6cb3ebcec0bba7b,044543208e5c426fb1d5408a39a2e629
95,f6829ae62c1640b5862e99a709ac211a,3d91917362b844f9bbc7012e740b3689
96,80690f8fcd2643df877aaf506ae3a0e4,76c0a9455206474b8fa24bf5b961e2e3
97,5d00b726293e410dbc234ea77cb0d5ef,4d7db7403f074960a2fffc5ba9cd9bc5
98,028950fe5e554c42ae3159d32caff51d,2052319c7a9e42249ecee612ef711518
99,706b886db24b41aea74dc48733156bd6,12b253cc617a41bf88f03681b3906649
100,867d074bd82f4ae4b94b0556f77f81a8,3c314220e7c94712bcffb7c47f10a5a6
101,a31acc06d9b14e94b99999c4f5028cf3,18231cb444454ea39a5f652309b184f6
102,4edfbb5f21ba407b9dd03faf994a6ca7,7568d4acd4574c51a1614b7e05585e62
103,57bfe4afcfaa42559447513458f7ff77,24ac9041ce4b451e9b231b6b3c9b57f0
104,fc136cb72eee47c983d75e7590025144,48de6c232b254c29ba18ae9f84cd693a
105,ce3bc963fcfe460980f633b4738a4977,bbc8b96b6d064984a148db75fa77ba9a
106,b87489841e4246f4a022ca450dddcf6d,5d888127c20b4f99ae5b7a78f917bb82
107,6601f01913f34de6b9fd6f864fe82e4d,3293f475bfd04acbbaf6d698e57d8685
108,9548bcb530aa493e899b943180ea1a14,30955f37e1ac46ed840a78988f1e8c15
109,52f75b5164e34709ac5ef5cee512cdd0,c76ee4785fde41f78e5266c78c457924
110,733ddf7510274e8b9624d10dd7ae0f4e,ff22a4fd28a44177a83b314316137ad7
111,3655545edbaf415dafa0daae6675cc11,94ae07a6abbd407db3737282ec6583a5
112,d23b7c6e9351400990ed0941a80b1e09,d9c065b1a2b9455ca0ac7d15934023a4
113,ad859ff0d9c5441fac117c7e374537bb,f76014325c8047408bad0012c99fed01
114,7c17867ae6a341e1b95161e90e2daad6,146470382aa147e197e68eb22b24ac6d
115,c017d25826524444906d6dfd312a83be,d90a9ab677784f74aaaaf797d884b6b3
116,f05e4048ad8e413a8c5fed417faa8bf3,a24753cb4a844274ae34f7db84f12845
117,9469091fa56447f1ab2fc98679fb1d66,6cd8d85896bf49458c0ce99073c74f14
118,c7ca2a7ce3b543ba8f6d8a03efbc0644,3aa397eb5bb44b9fb8bca370c7d1d258
119,cfda6635b3bc43d9bbad546a43f02c7a,61c806fa594e4ff0a032f34bb888a233
120,3818651a4a8445e0b43b981a66d16aae,f91e75adb3f2463db46de0cf5fa0ce7a
121,f3fecfdb45c6464fbb94269f32bba0f1,4935feca2a334127aaaa5324e2ba5d3c
122,ca20a1b562674fb39ce6a58e3f4dbc07,18a75690559a4cab9231eef1b1a835a1
123,37bc7de41d5b4326b2bdb8487d7b2ad4,ac64b79a134a4fd0b843e566e82b95bb
124,cb01a63b468d495297fceb6901397c57,86a63b5fb58a43febe11f1fe6f92d419
125,e2f290c359184ec1b6dcaff1b1a84688,e704749550f74c48856ccd03f5fc18ad
126,001e774809334f4db3407d48e70ec3c5,c6b5ecec71fb474bbe42db07a04c0912
127,38722b7de2bc4b1bb92c073ffefa774f,09b625eb9720447dbe289d9b01899fd3
128,97a892467f2e4ebe932559566b3cb67c,c6b9cbc42c504502b4659c4340bb298a
129,db5b82fe7acf44aeb7081f230b1685b2,1ccca94e5f11437bb02a6e8eb9b5aa04
130,53500fdd841043ac968c839a59ce30c4,f112cba2ae5c437a89b0c2b7422f1857
131,bfc69115eb7b4c90914720f0c1758b6b,1221380056e34ef99fbe9ce1c41ed130
132,5f1b8aff4662445d8c2c106ba6ae0656,0190b8ef5f0845c492c275d4482cce65
133,386ff4d4bab34fb39e70272e5d7eaacd,4881cb844d844f8ab02b3420e69af69d
134,f66bed9e32d84c6890906ed4b72ce264,9c142be8e8d247daa7a8afb5c4ec72ee
135,ce467393b5d84749952017a1abcfeedb,e6ad7020e04240038150f4839f512d78
136,1d4d5150f32446cf86b60f873be036af,ffe6b5b7fe20448cbfe99f7f4af05399
137,eb1409415dee48aca34231cfd1474715,d2c6a25c0ba94549937ca61739c1c53a
138,81e6e556c4dd43d5a7dfe3ed3c8e1316,5620c8983e1a4cda9f006e918ab1448c
139,53d2d8bc1df34d31a7ae449ff9876f22,7ae17051ae614edc9bb0d7b85497b3e8
140,2301b4bc88a94bab9680d8a6c9d4c5ab,b3af0366fa0f4cd1b4600dd5b1b9f4e8
141,69c2ce9b2a6f42af9983c08cbe78db0a,7850b55335854beaad7018257f4cf83a
142,a5b8dd1776ba448a875b6a4721c9c71f,76d4df7c99c64c4da448384bbdfa09f8
143,ca159b2bd98a493892c96e1740796115,133af7b970504781907066ad44e25348
144,b439c27b7d57415489333300bd1ca96b,3a5395c83d4a48e18f8c48609e4cf764
145,dfdc356445d542fc9d86b19f24a8f820,70e60803f9174c0783485fcb4809f702
146,0909568962d543aab541d00dff320258,d2633a25301a42b0b8c484ad672d8f2f
147,4ffea55c00cd4e15961c3ac804ae2fd9,562052976241476ba20e832793c5d37d
148,f6ced0f051d942c2a0af9b5d1e68e519,c10001bee159464e998c610c94808806
149,4a1fa83c4670425e993faabbdafa22d0,fd4f8cf069a342918e015840be211095
150,eaeb13db667d4a10afff044395c6ac7f,8115bc3e38044f7bb6c79020443c59a9
151,17c5a980575c4ee8bd866f6a0e88cdae,36730012029d4e7780f80bf27ebe35f4
152,670474f058fd4c409e35363cdbddeaaf,3777898fb6064c3bab66106c6249ebe6
153,34440684b463497caefb40b03bb375cf,180be604f71b4ab193fbb0897f2d3925
154,087b1a19ab6b4b7c97c2c3a2f3aa8747,b4556d1e31304d078a837e91705ff85d
155,8d21918fd06b43a9b7952934a669de20,f2d56c49733c491fb17c9e65ce6346f2
156,8404bdb909d845e0999cc5441d38b6ea,118de691d2034b3181a4997f66ae98ab
157,616d956658044567af22a9b8ad177fd7,4c0f5f0a659b483fa3487bbaedf27cf8
158,b1d84943b3474419b0bb7948b27dec5f,9ad0998566dc4d52a6a0b096545f4cc7
159,33ea266967ad4c2b9614a25fecb62f45,937676b824c74c76b772118ea35823f8
160,755f24fb0001492cb1a18b0eb1690c42,df819343edaa4eeeb3d9d6d5b2e3ccec
161,5d71193e3ca44f5e8b0a043292c1ce9a,bd5b7b5500e9440a8ca6be353218fe82
162,6646e4230a1c4e71a5b53fb8e20035e4,9f550e64d89e47b8938fe6b1eb78aa05
163,36eea73a913c43b78fed0db65fe2c47a,5120c94179a044bcbd2d861612433981
164,29831ca4ce5d4c8bad2e7ba6b2063182,a3bbb4ee3dea46e5a73fee034dd28523
165,9ffd849506bf449da231b18458ef2a52,80a165ed00c54dffa2a4c1b4fa93a555
166,ed3d99613bdc41e19d5890391c6c3ff8,c50d4ad4b16445ce9a0158a63723bafa
167,7fe6637fdde04627b185bcff4d4b3e60,1034f3cadb754fff9b55ead8441a02f3
